price,date
2230.8761843957795,2023-12-27 00:00:00
2376.771249284193,2023-12-28 00:00:00
2345.2607087446872,2023-12-29 00:00:00
2299.52620727526,2023-12-30 00:00:00
2294.3440063451,2023-12-31 00:00:00
2279.941008568961,2024-01-01 00:00:00
2350.026286008509,2024-01-02 00:00:00
2360.7821195890947,2024-01-03 00:00:00
2211.1708278638766,2024-01-04 00:00:00
2270.977439333732,2024-01-05 00:00:00
2267.087035484658,2024-01-06 00:00:00
2241.5108270042424,2024-01-07 00:00:00
2220.151561688879,2024-01-08 00:00:00
2331.6603294356382,2024-01-09 00:00:00
2341.160624264102,2024-01-10 00:00:00
2588.769163919145,2024-01-11 00:00:00
2618.329861896492,2024-01-12 00:00:00
2524.5016938912413,2024-01-13 00:00:00
2575.9247354333543,2024-01-14 00:00:00
2477.9374784307734,2024-01-15 00:00:00
2515.3199803936955,2024-01-16 00:00:00
2589.4826316304293,2024-01-17 00:00:00
2528.3287854519394,2024-01-18 00:00:00
2467.3289785137254,2024-01-19 00:00:00
2489.6180646533794,2024-01-20 00:00:00
2470.2636151036777,2024-01-21 00:00:00
2454.909543339834,2024-01-22 00:00:00
2307.5870034987734,2024-01-23 00:00:00
2241.942776155338,2024-01-24 00:00:00
2236.7393130974074,2024-01-25 00:00:00
2219.6145274459245,2024-01-26 00:00:00
2268.8707315074744,2024-01-27 00:00:00
2267.907851752534,2024-01-28 00:00:00
2257.054464645605,2024-01-29 00:00:00
2314.59472753004,2024-01-30 00:00:00
2344.001400019654,2024-01-31 00:00:00
2282.485867015841,2024-02-01 00:00:00
2301.737299308667,2024-02-02 00:00:00
2307.4329984830933,2024-02-03 00:00:00
2294.715924804408,2024-02-04 00:00:00
2290.084492877089,2024-02-05 00:00:00
2298.669906674278,2024-02-06 00:00:00
2372.760878734525,2024-02-07 00:00:00
2424.073040465209,2024-02-08 00:00:00
2420.9685614791365,2024-02-09 00:00:00
2487.8508971967804,2024-02-10 00:00:00
2499.4921841564314,2024-02-11 00:00:00
2505.076808453919,2024-02-12 00:00:00
2657.990407976775,2024-02-13 00:00:00
2641.5360974921623,2024-02-14 00:00:00
2780.372974906562,2024-02-15 00:00:00
2826.821475855177,2024-02-16 00:00:00
2807.3717030539606,2024-02-17 00:00:00
2788.561332499608,2024-02-18 00:00:00
2874.945276040071,2024-02-19 00:00:00
2943.723084777655,2024-02-20 00:00:00
3015.438952062055,2024-02-21 00:00:00
2977.0820166829903,2024-02-22 00:00:00
2974.131586131992,2024-02-23 00:00:00
2926.285912906352,2024-02-24 00:00:00
2988.317384063568,2024-02-25 00:00:00
3113.4082982877167,2024-02-26 00:00:00
3173.62994683714,2024-02-27 00:00:00
3242.0476538223666,2024-02-28 00:00:00
3380.8039555421246,2024-02-29 00:00:00
3347.690472423345,2024-03-01 00:00:00
3431.75199772032,2024-03-02 00:00:00
3421.89214692414,2024-03-03 00:00:00
3487.190931866777,2024-03-04 00:00:00
3634.311067557102,2024-03-05 00:00:00
3581.5348849085663,2024-03-06 00:00:00
3822.365818156151,2024-03-07 00:00:00
3861.900999013773,2024-03-08 00:00:00
3893.613884196704,2024-03-09 00:00:00
3916.041187699099,2024-03-10 00:00:00
3887.473104733291,2024-03-11 00:00:00
4070.604074987,2024-03-12 00:00:00
3978.685771378112,2024-03-13 00:00:00
4007.9121260756656,2024-03-14 00:00:00
3879.038366642958,2024-03-15 00:00:00
3738.381184462065,2024-03-16 00:00:00
3514.222472178163,2024-03-17 00:00:00
3643.280347379834,2024-03-18 00:00:00
3525.893640670024,2024-03-19 00:00:00
3171.293836639821,2024-03-20 00:00:00
3515.6884318548646,2024-03-21 00:00:00
3493.4304387798707,2024-03-22 00:00:00
3322.891277320318,2024-03-23 00:00:00
3353.371241538487,2024-03-24 00:00:00
3454.257071389558,2024-03-25 00:00:00
3588.493402189288,2024-03-26 00:00:00
3591.5485279028403,2024-03-27 00:00:00
3505.2181161826984,2024-03-28 00:00:00
3560.26151146781,2024-03-29 00:00:00
3516.096057627979,2024-03-30 00:00:00
3507.6606559474685,2024-03-31 00:00:00
3644.767598784896,2024-04-01 00:00:00
3508.2477201085417,2024-04-02 00:00:00
3274.901203544406,2024-04-03 00:00:00
3316.6829546775257,2024-04-04 00:00:00
2230.8761843957795,2023-12-27
2376.771249284193,2023-12-28
2345.2607087446872,2023-12-29
2299.52620727526,2023-12-30
2294.3440063451,2023-12-31
2279.941008568961,2024-01-01
2350.026286008509,2024-01-02
2360.7821195890947,2024-01-03
2211.1708278638766,2024-01-04
2270.977439333732,2024-01-05
2267.087035484658,2024-01-06
2241.5108270042424,2024-01-07
