price,date
297.1454222726345,2023-12-27 00:00:00
323.4162880480637,2023-12-28 00:00:00
323.3739475628496,2023-12-29 00:00:00
313.6202885727052,2023-12-30 00:00:00
317.47480395153906,2023-12-31 00:00:00
312.13562141703204,2024-01-01 00:00:00
314.8090243019822,2024-01-02 00:00:00
312.1281269389321,2024-01-03 00:00:00
316.2568698145509,2024-01-04 00:00:00
323.1908908831624,2024-01-05 00:00:00
317.1360633838788,2024-01-06 00:00:00
307.5822810158495,2024-01-07 00:00:00
302.34431251494595,2024-01-08 00:00:00
304.4079114436878,2024-01-09 00:00:00
301.0258937007486,2024-01-10 00:00:00
305.3729176547247,2024-01-11 00:00:00
308.2886658578193,2024-01-12 00:00:00
296.78385646671904,2024-01-13 00:00:00
302.1937344871412,2024-01-14 00:00:00
299.40249177259903,2024-01-15 00:00:00
317.96910509773306,2024-01-16 00:00:00
315.48070323291495,2024-01-17 00:00:00
309.34175002958136,2024-01-18 00:00:00
314.5677329220257,2024-01-19 00:00:00
314.0674293261276,2024-01-20 00:00:00
315.97627175384287,2024-01-21 00:00:00
318.6325570123344,2024-01-22 00:00:00
304.7222133333107,2024-01-23 00:00:00
298.5095874866432,2024-01-24 00:00:00
293.3538084214872,2024-01-25 00:00:00
292.0604392592448,2024-01-26 00:00:00
302.0226742114041,2024-01-27 00:00:00
305.7822741600565,2024-01-28 00:00:00
304.8048510071795,2024-01-29 00:00:00
310.7480866931902,2024-01-30 00:00:00
307.3215919447753,2024-01-31 00:00:00
300.2133197962691,2024-02-01 00:00:00
299.91140489999145,2024-02-02 00:00:00
301.1743543985105,2024-02-03 00:00:00
299.718153248542,2024-02-04 00:00:00
304.7648432086672,2024-02-05 00:00:00
300.81169435831123,2024-02-06 00:00:00
302.80203539789846,2024-02-07 00:00:00
307.8797114234207,2024-02-08 00:00:00
319.31080021633784,2024-02-09 00:00:00
323.39926577986324,2024-02-10 00:00:00
322.83361107940965,2024-02-11 00:00:00
320.51049489651786,2024-02-12 00:00:00
327.9132978808212,2024-02-13 00:00:00
325.11173255625624,2024-02-14 00:00:00
333.8536985075189,2024-02-15 00:00:00
355.02746003084934,2024-02-16 00:00:00
360.9578828784416,2024-02-17 00:00:00
352.82914719992834,2024-02-18 00:00:00
350.1690092811547,2024-02-19 00:00:00
351.8214066446114,2024-02-20 00:00:00
355.1049978271054,2024-02-21 00:00:00
378.9295030528572,2024-02-22 00:00:00
382.1413995274651,2024-02-23 00:00:00
375.42971250175134,2024-02-24 00:00:00
381.9276527408514,2024-02-25 00:00:00
388.5627138238604,2024-02-26 00:00:00
401.2142854224812,2024-02-27 00:00:00
395.0555551914822,2024-02-28 00:00:00
416.2538492385853,2024-02-29 00:00:00
399.78649632596665,2024-03-01 00:00:00
407.3488446334545,2024-03-02 00:00:00
410.8365341154477,2024-03-03 00:00:00
414.1969057841646,2024-03-04 00:00:00
420.0075598101946,2024-03-05 00:00:00
396.6567264804029,2024-03-06 00:00:00
428.8021344903565,2024-03-07 00:00:00
473.4638575740399,2024-03-08 00:00:00
485.3064086191258,2024-03-09 00:00:00
490.1373606436068,2024-03-10 00:00:00
528.9501964460305,2024-03-11 00:00:00
522.8420431012881,2024-03-12 00:00:00
539.4042062887337,2024-03-13 00:00:00
628.4543092213498,2024-03-14 00:00:00
603.2657507579988,2024-03-15 00:00:00
621.6567029445225,2024-03-16 00:00:00
575.4381141809567,2024-03-17 00:00:00
572.0297309383858,2024-03-18 00:00:00
554.2073180923328,2024-03-19 00:00:00
507.01221814701705,2024-03-20 00:00:00
556.5082042653142,2024-03-21 00:00:00
553.7225434912489,2024-03-22 00:00:00
549.8607543980085,2024-03-23 00:00:00
554.1644153997655,2024-03-24 00:00:00
568.7407679771118,2024-03-25 00:00:00
586.4285039935903,2024-03-26 00:00:00
580.8520230009177,2024-03-27 00:00:00
575.5479374384904,2024-03-28 00:00:00
583.2907441256798,2024-03-29 00:00:00
616.5829205548276,2024-03-30 00:00:00
601.2065057456366,2024-03-31 00:00:00
606.6259820801984,2024-04-01 00:00:00
577.9573539863145,2024-04-02 00:00:00
550.8593008357556,2024-04-03 00:00:00
563.5991778362661,2024-04-04 00:00:00
297.1454222726345,2023-12-27
323.4162880480637,2023-12-28
323.3739475628496,2023-12-29
313.6202885727052,2023-12-30
317.47480395153906,2023-12-31
312.13562141703204,2024-01-01
314.8090243019822,2024-01-02
312.1281269389321,2024-01-03
316.2568698145509,2024-01-04
323.1908908831624,2024-01-05
317.1360633838788,2024-01-06
307.5822810158495,2024-01-07
302.34431251494595,2024-01-08
304.4079114436878,2024-01-09
301.0258937007486,2024-01-10
305.3729176547247,2024-01-11
308.2886658578193,2024-01-12
296.78385646671904,2024-01-13
302.1937344871412,2024-01-14
299.40249177259903,2024-01-15
317.96910509773306,2024-01-16
315.48070323291495,2024-01-17
309.34175002958136,2024-01-18
314.5677329220257,2024-01-19
314.0674293261276,2024-01-20
315.97627175384287,2024-01-21
318.6325570123344,2024-01-22
304.7222133333107,2024-01-23
298.5095874866432,2024-01-24
293.3538084214872,2024-01-25
292.0604392592448,2024-01-26
302.0226742114041,2024-01-27
305.7822741600565,2024-01-28
304.8048510071795,2024-01-29
310.7480866931902,2024-01-30
307.3215919447753,2024-01-31
300.2133197962691,2024-02-01
299.91140489999145,2024-02-02
301.1743543985105,2024-02-03
299.718153248542,2024-02-04
304.7648432086672,2024-02-05
300.81169435831123,2024-02-06
302.80203539789846,2024-02-07
307.8797114234207,2024-02-08
319.31080021633784,2024-02-09
323.39926577986324,2024-02-10
