ID_Crypto,price,date
BTC,42516.42694028252,2023-12-27
BTC,43418.46777504291,2023-12-28
BTC,42600.65063315619,2023-12-29
BTC,42074.70715618848,2023-12-30
BTC,42220.61140121376,2023-12-31
BTC,42208.20217618648,2024-01-01
BTC,44168.68118687473,2024-01-02
BTC,44994.67388689237,2024-01-03
BTC,42821.558989158,2024-01-04
BTC,44195.57856209971,2024-01-05
BTC,44113.69973389081,2024-01-06
BTC,43956.12071720152,2024-01-07
BTC,43883.74387905174,2024-01-08
BTC,46936.18556121751,2024-01-09
BTC,46105.94607828697,2024-01-10
BTC,46632.31314804979,2024-01-11
BTC,46314.35554160269,2024-01-12
BTC,42893.92960550481,2024-01-13
BTC,42848.47451640749,2024-01-14
BTC,41800.93282193406,2024-01-15
BTC,42587.336038354406,2024-01-16
BTC,43148.00164342693,2024-01-17
BTC,42713.859186938986,2024-01-18
BTC,41261.39479801012,2024-01-19
BTC,41600.94093254464,2024-01-20
BTC,41626.10711003664,2024-01-21
BTC,41541.89945706261,2024-01-22
BTC,39504.73005758438,2024-01-23
BTC,39833.45410501688,2024-01-24
BTC,40123.67105847147,2024-01-25
BTC,39938.28644155878,2024-01-26
BTC,41862.9356109399,2024-01-27
BTC,42119.61049464309,2024-01-28
BTC,42026.57856232145,2024-01-29
BTC,43267.60927638767,2024-01-30
BTC,42892.03453014447,2024-01-31
BTC,42583.26354663417,2024-02-01
BTC,43069.0434209368,2024-02-02
BTC,43170.65856159975,2024-02-03
BTC,42976.84829990829,2024-02-04
BTC,42599.35997055978,2024-02-05
BTC,42648.45692113544,2024-02-06
BTC,43087.78740814285,2024-02-07
BTC,44247.415415479314,2024-02-08
BTC,45338.27118978949,2024-02-09
BTC,47143.24299107112,2024-02-10
BTC,47768.995251247936,2024-02-11
BTC,48189.88179303987,2024-02-12
BTC,50050.13609456397,2024-02-13
BTC,49732.14536955351,2024-02-14
BTC,51790.16929752642,2024-02-15
BTC,51958.23029105492,2024-02-16
BTC,52166.43430976192,2024-02-17
BTC,51684.51749264525,2024-02-18
BTC,52138.48578873693,2024-02-19
BTC,51764.313185487765,2024-02-20
BTC,52286.79372554667,2024-02-21
BTC,51842.75676625642,2024-02-22
BTC,51319.500125702674,2024-02-23
BTC,50841.081094770896,2024-02-24
BTC,51553.096712831146,2024-02-25
BTC,51751.88405493456,2024-02-26
BTC,54478.19108312296,2024-02-27
BTC,57003.52673730811,2024-02-28
BTC,62558.58202419311,2024-02-29
BTC,61298.21686110162,2024-03-01
BTC,62426.64052919186,2024-03-02
BTC,62067.86680212177,2024-03-03
BTC,63053.10543906421,2024-03-04
BTC,68186.64593432152,2024-03-05
BTC,64291.536557569496,2024-03-06
BTC,66145.91927850846,2024-03-07
BTC,66944.87639053575,2024-03-08
BTC,68315.25192078314,2024-03-09
BTC,68508.0039626159,2024-03-10
BTC,69075.66688195744,2024-03-11
BTC,72130.55300765681,2024-03-12
BTC,71467.17350326062,2024-03-13
BTC,73097.76702694128,2024-03-14
BTC,71420.03180142345,2024-03-15
BTC,69497.7631929463,2024-03-16
BTC,65292.31329331289,2024-03-17
BTC,68425.41565643054,2024-03-18
BTC,67708.94360930806,2024-03-19
BTC,62132.51737873437,2024-03-20
BTC,65420.32765696146,2024-03-21
BTC,63028.43134094648,2024-03-22
BTC,64748.901211039374,2024-03-23
BTC,66956.25831239528,2024-03-24
BTC,70368.50947972789,2024-03-25
BTC,70258.04247613561,2024-03-26
BTC,69406.85341660514,2024-03-27
BTC,70817.35435689316,2024-03-28
BTC,69928.194964586,2024-03-29
BTC,69744.13074270339,2024-03-30
BTC,70932.19761892733,2024-03-31
BTC,69770.20184774762,2024-04-01
BTC,65773.80242597149,2024-04-02
BTC,66212.36390036279,2024-04-03
BTC,67933.71324422375,2024-04-04
BTC,67733.47624573811,2024-04-05
BTC,69073.92015414164,2024-04-06
BTC,69212.383564871,2024-04-07
BTC,71781.95484701698,2024-04-08
