Crypto_Code,price,datetime
BTC,63881.453911578064,2024-05-07 02:00:00
BTC,63512.30178532155,2024-05-07 01:00:00
BTC,63159.413770342624,2024-05-07 00:00:00
BTC,63494.779538716146,2024-05-06 23:00:00
BTC,63503.084350961755,2024-05-06 22:00:00
BTC,63321.02765464029,2024-05-06 21:00:00
BTC,63138.425145590874,2024-05-06 20:00:00
BTC,63412.381076453275,2024-05-06 19:00:00
BTC,63241.76065714491,2024-05-06 18:00:00
BTC,63246.950377743895,2024-05-06 17:00:00
BTC,63679.77895233581,2024-05-06 16:00:00
BTC,63276.779129328446,2024-05-06 15:00:00
BTC,63910.461847497434,2024-05-06 14:00:00
BTC,63412.09870178218,2024-05-06 13:00:00
BTC,64248.932580779605,2024-05-06 12:00:00
BTC,64073.70136839926,2024-05-06 11:00:00
BTC,65138.16086882215,2024-05-06 10:00:00
BTC,65154.700395653184,2024-05-06 09:00:00
BTC,64531.20188883088,2024-05-06 08:00:00
BTC,64317.46384241948,2024-05-06 07:00:00
BTC,64128.183146137104,2024-05-06 06:00:00
BTC,64128.68028147908,2024-05-06 05:00:00
BTC,63835.41659074096,2024-05-06 04:00:00
BTC,63856.67882493557,2024-05-06 03:00:00
BTC,64142.84597467068,2024-05-06 02:00:00
BTC,64239.52072529647,2024-05-06 01:00:00
BTC,64090.09642569385,2024-05-06 00:00:00
BTC,63880.71529314813,2024-05-05 23:00:00
BTC,63800.416427134194,2024-05-05 22:00:00
BTC,63757.94836444906,2024-05-05 21:00:00
BTC,63838.357820211124,2024-05-05 20:00:00
BTC,63925.74583157701,2024-05-05 19:00:00
BTC,64196.85768543363,2024-05-05 18:00:00
BTC,64279.84515040732,2024-05-05 17:00:00
BTC,64396.44391662257,2024-05-05 16:00:00
BTC,64156.05144017624,2024-05-05 15:00:00
BTC,64108.64973653352,2024-05-05 14:00:00
BTC,63735.634401656585,2024-05-05 13:00:00
BTC,63861.715772126176,2024-05-05 12:00:00
BTC,63731.17044668806,2024-05-05 11:00:00
BTC,63752.81378669479,2024-05-05 10:00:00
BTC,63683.49084406899,2024-05-05 09:00:00
BTC,63765.09243767949,2024-05-05 08:00:00
BTC,63397.70056361196,2024-05-05 07:00:00
BTC,63207.74024249751,2024-05-05 06:00:00
BTC,63362.68353714227,2024-05-05 05:00:00
BTC,63252.502669326845,2024-05-05 04:00:00
BTC,63145.10570901847,2024-05-05 03:00:00
BTC,63250.670679041075,2024-05-05 02:00:00
BTC,63523.54364631889,2024-05-05 01:00:00
BTC,63916.7594807191,2024-05-05 00:00:00
BTC,63645.483820910595,2024-05-04 23:00:00
BTC,63965.382342002646,2024-05-04 22:00:00
BTC,63876.506031230434,2024-05-04 21:00:00
BTC,63951.225463868745,2024-05-04 20:00:00
BTC,63639.73499563124,2024-05-04 19:00:00
BTC,63473.010916378866,2024-05-04 18:00:00
BTC,63670.75505573121,2024-05-04 17:00:00
BTC,63580.86793297127,2024-05-04 16:00:00
BTC,63883.221593191716,2024-05-04 15:00:00
BTC,63629.51926756632,2024-05-04 14:00:00
BTC,64022.31971115077,2024-05-04 13:00:00
BTC,63857.839608384056,2024-05-04 12:00:00
BTC,64339.832505300714,2024-05-04 11:00:00
BTC,63166.609246788146,2024-05-04 10:00:00
BTC,63174.81811415307,2024-05-04 09:00:00
BTC,62989.03947531411,2024-05-04 08:00:00
BTC,62982.55022741184,2024-05-04 07:00:00
BTC,63417.219465384616,2024-05-04 06:00:00
BTC,63122.69222413523,2024-05-04 05:00:00
BTC,62740.051601062434,2024-05-04 04:00:00
BTC,62706.74841870422,2024-05-04 03:00:00
BTC,62781.52228369981,2024-05-04 02:00:00
BTC,63123.49150484059,2024-05-04 01:00:00
BTC,62888.508891304526,2024-05-04 00:00:00
BTC,62846.05917605649,2024-05-03 23:00:00
BTC,62592.38074912422,2024-05-03 22:00:00
BTC,62900.51280473865,2024-05-03 21:00:00
BTC,61941.32755803293,2024-05-03 20:00:00
BTC,61824.989972431504,2024-05-03 19:00:00
BTC,61873.31958319993,2024-05-03 18:00:00
BTC,61692.12736984045,2024-05-03 17:00:00
BTC,61812.44744056002,2024-05-03 16:00:00
BTC,61635.099767191765,2024-05-03 15:00:00
BTC,61545.375162503144,2024-05-03 14:00:00
BTC,60679.808749638694,2024-05-03 13:00:00
BTC,59270.4797248366,2024-05-03 12:00:00
BTC,59033.39122749094,2024-05-03 11:00:00
BTC,59512.8142037543,2024-05-03 10:00:00
BTC,59274.362931250864,2024-05-03 09:00:00
BTC,59163.1799465065,2024-05-03 08:00:00
BTC,59263.634858450976,2024-05-03 07:00:00
BTC,59517.65399145234,2024-05-03 06:00:00
BTC,59576.757362208424,2024-05-03 05:00:00
BTC,59734.71488674994,2024-05-03 04:00:00
BTC,59547.676705263264,2024-05-03 03:00:00
BTC,59312.19127788912,2024-05-03 02:00:00
BTC,59035.0253990535,2024-05-03 01:00:00
BTC,59101.80359815795,2024-05-03 00:00:00
BTC,59309.25005810256,2024-05-02 23:00:00
BTC,59103.281695497775,2024-05-02 22:00:00
BTC,58825.09395767242,2024-05-02 21:00:00
BTC,59264.37219029164,2024-05-02 20:00:00
BTC,59478.171690745745,2024-05-02 19:00:00
BTC,59235.76010332793,2024-05-02 18:00:00
BTC,59007.41650167807,2024-05-02 17:00:00
BTC,59295.06231923319,2024-05-02 16:00:00
BTC,59052.44943874052,2024-05-02 15:00:00
BTC,58422.09286332141,2024-05-02 14:00:00
BTC,58736.52259401188,2024-05-02 13:00:00
BTC,58515.19944879183,2024-05-02 12:00:00
BTC,57807.71365325178,2024-05-02 11:00:00
BTC,57807.054371483224,2024-05-02 10:00:00
BTC,57826.7318073255,2024-05-02 09:00:00
BTC,57635.934438537755,2024-05-02 08:00:00
BTC,57590.46643577258,2024-05-02 07:00:00
BTC,57395.84643691616,2024-05-02 06:00:00
BTC,57307.52432267306,2024-05-02 05:00:00
BTC,57473.191843285495,2024-05-02 04:00:00
BTC,57405.66733460479,2024-05-02 03:00:00
BTC,57079.422852923904,2024-05-02 02:00:00
BTC,57737.22604405258,2024-05-02 01:00:00
BTC,58305.94431880541,2024-05-02 00:00:00
BTC,57820.44606293166,2024-05-01 23:00:00
BTC,57831.64729198509,2024-05-01 22:00:00
BTC,57361.4276584326,2024-05-01 21:00:00
BTC,56852.05728128931,2024-05-01 20:00:00
BTC,59051.99209223489,2024-05-01 19:00:00
BTC,57468.698945478754,2024-05-01 18:00:00
BTC,57020.28018890519,2024-05-01 17:00:00
BTC,56803.96166623669,2024-05-01 16:00:00
BTC,57425.102178796966,2024-05-01 15:00:00
BTC,57340.60493007831,2024-05-01 14:00:00
BTC,57877.05388201031,2024-05-01 13:00:00
BTC,57812.74612607129,2024-05-01 12:00:00
BTC,57683.04579970379,2024-05-01 11:00:00
BTC,57079.45266919757,2024-05-01 10:00:00
BTC,56903.01421969973,2024-05-01 09:00:00
BTC,57257.02641340072,2024-05-01 08:00:00
BTC,59505.80547987652,2024-05-01 07:00:00
BTC,59941.03405745172,2024-05-01 06:00:00
BTC,60222.06354219467,2024-05-01 05:00:00
BTC,60250.19951951747,2024-05-01 04:00:00
BTC,59867.74122008093,2024-05-01 03:00:00
BTC,60008.80141448003,2024-05-01 02:00:00
BTC,60199.095414802534,2024-05-01 01:00:00
BTC,60570.49956727372,2024-05-01 00:00:00
BTC,60460.461138279825,2024-04-30 23:00:00
BTC,60135.1650856609,2024-04-30 22:00:00
BTC,59862.81401013311,2024-04-30 21:00:00
BTC,59130.90288936685,2024-04-30 20:00:00
BTC,60235.0767234763,2024-04-30 19:00:00
BTC,60338.811211535605,2024-04-30 18:00:00
BTC,60440.51879815791,2024-04-30 17:00:00
BTC,60793.240622539866,2024-04-30 16:00:00
BTC,61227.97534352162,2024-04-30 15:00:00
BTC,60771.18438235919,2024-04-30 14:00:00
BTC,61178.50152775359,2024-04-30 13:00:00
BTC,61190.08933643445,2024-04-30 12:00:00
BTC,61715.0192102861,2024-04-30 11:00:00
BTC,61658.3650949231,2024-04-30 10:00:00
BTC,61905.188337013606,2024-04-30 09:00:00
BTC,63157.078601803245,2024-04-30 08:00:00
BTC,63387.94067577044,2024-04-30 07:00:00
BTC,63314.06746179212,2024-04-30 06:00:00
BTC,63353.118210687484,2024-04-30 05:00:00
BTC,63613.15319681655,2024-04-30 04:00:00
BTC,63786.59739236193,2024-04-30 03:00:00
BTC,63715.578055977,2024-04-30 02:00:00
BTC,64514.6474735241,2024-04-30 01:00:00
BTC,63827.108114893235,2024-04-30 00:00:00
BTC,63924.68905639166,2024-04-29 23:00:00
BTC,63097.385520650096,2024-04-29 22:00:00
BTC,62946.58461183008,2024-04-29 21:00:00
BTC,62859.29844444232,2024-04-29 20:00:00
BTC,62843.297954514936,2024-04-29 19:00:00
BTC,63006.186611498175,2024-04-29 18:00:00
BTC,62787.086691776465,2024-04-29 17:00:00
BTC,62976.48439297888,2024-04-29 16:00:00
BTC,62820.97053197032,2024-04-29 15:00:00
BTC,61988.375823439164,2024-04-29 14:00:00
BTC,62619.52475677046,2024-04-29 13:00:00
BTC,62236.95319549425,2024-04-29 12:00:00
BTC,62394.62149157186,2024-04-29 11:00:00
BTC,62629.188181913276,2024-04-29 10:00:00
BTC,62403.99060765479,2024-04-29 09:00:00
BTC,62358.86969191035,2024-04-29 08:00:00
BTC,62185.2441394792,2024-04-29 07:00:00
BTC,62417.64089893215,2024-04-29 06:00:00
BTC,62531.951670804905,2024-04-29 05:00:00
BTC,62479.23707222709,2024-04-29 04:00:00
BTC,62686.48462173875,2024-04-29 03:00:00
BTC,63217.89808094208,2024-04-29 02:00:00
BTC,63226.07688419377,2024-04-29 01:00:00
BTC,63132.96539132659,2024-04-29 00:00:00
BTC,63137.88072577567,2024-04-28 23:00:00
BTC,63625.17116862718,2024-04-28 22:00:00
BTC,63665.54568045273,2024-04-28 21:00:00
BTC,63767.76688018336,2024-04-28 20:00:00
